GENERO;RENTA;EDAD;TOTAL_DEUDA;M_MOROSO;MONTO;FUGA
M;10929;45;3122066;1;8000000;FUGA
M;780119;55;177652;1;3600000;FUGA
M;293356;44;22393;1;2800000;NO FUGA
F;545092;54;125117;1;3800000;FUGA
M;315589;54;74601;1;1600000;FUGA
F;466322;59;736284;1;1600000;NO FUGA
M;551859;44;1376737;1;1400000;FUGA
F;8208047;37;468370;0;1300000;NO FUGA
M;481105;41;945527;0;2200000;NO FUGA
F;253793;49;4406;1;1300000;NO FUGA
M;42292;40;270719;1;2400000;NO FUGA
M;430043;40;345240;2;1700000;NO FUGA
M;251356;52;299995;1;2300000;NO FUGA
F;903611;27;1094129;1;4400000;NO FUGA
F;3056629;36;101676;1;3100000;NO FUGA
F;4804116;44;829255;1;3200000;FUGA
M;360509;53;1115200;2;2100000;FUGA
F;442128;28;2014961;1;2400000;NO FUGA
M;48660;50;408528;2;2300000;FUGA
F;135840;45;108348;1;3500000;FUGA
M;659449;47;1221855;1;1800000;FUGA
F;59943;49;7333555;0;4000000;NO FUGA
M;17602;50;1710842;2;8000000;FUGA
F;548999;30;4978;1;5500000;NO FUGA
F;152380;33;74251;1;900000;NO FUGA
F;35604;54;110354;0;8000000;NO FUGA
M;337822;29;1224207;1;2600000;FUGA
M;732940;54;493908;1;3500000;FUGA
F;877998;54;1129046;1;5500000;NO FUGA
F;14565;49;2432;1;8000000;NO FUGA
M;24181;51;15166978;2;7100000;FUGA
M;24885;49;2355103;1;2300000;FUGA
F;338401;51;135384;0;3800000;NO FUGA
M;1283867;40;293217;2;8000000;NO FUGA
M;207850;43;744537;0;5600000;NO FUGA
M;21495;40;365181;2;1300000;FUGA
F;3321995;36;1205943;1;1500000;NO FUGA
F;1170936;35;341454;1;8000000;NO FUGA
M;1594955;42;129275;1;3300000;FUGA
M;414074;44;216718;1;1800000;NO FUGA
M;951209;48;182833;2;500000;FUGA
M;437275;31;1070806;1;900000;FUGA
M;78491;54;848687;1;1000000;FUGA
F;5588459;39;344979;1;2700000;NO FUGA
M;55306;52;423757;3;1900000;FUGA
F;370159;35;12824754;1;4400000;NO FUGA
M;605690;54;351269;1;5200000;FUGA
M;57000;44;241023;3;1400000;FUGA
F;192875;55;275;1;6500000;NO FUGA
F;42202;54;839455;1;8000000;NO FUGA
M;3485500;41;567286;1;2000000;FUGA
M;1017402;47;1024836;1;5200000;FUGA
M;221041;30;3740;1;2000000;NO FUGA
F;364106;55;269333;1;2000000;FUGA
M;350730;45;99443;1;1900000;NO FUGA
M;270899;42;3209949;1;7000000;FUGA
M;643976;43;482423;2;3700000;NO FUGA
F;89381;50;12989;3;1900000;NO FUGA
F;155679;48;39962;0;2000000;NO FUGA
M;945731;42;233630;1;5800000;FUGA
F;6114405;31;816;0;2900000;NO FUGA
F;730652;41;982873;1;3200000;NO FUGA
F;693081;44;17085;1;2800000;NO FUGA
M;429894;46;1011355;1;500000;FUGA
F;38019;43;100961;0;6100000;NO FUGA
F;859951;45;821221;2;3100000;FUGA
M;4150;45;64961;1;3800000;FUGA
F;1058275;39;974079;0;4000000;NO FUGA
M;652605;28;785045;0;3200000;NO FUGA
M;646229;54;634854;1;3100000;FUGA
M;713424;43;483523;1;8000000;FUGA
M;481288;39;806944;1;1500000;NO FUGA
F;455464;54;545738;1;1300000;NO FUGA
M;36948;49;619260;1;1700000;FUGA
M;237944;29;657489;1;2900000;NO FUGA
F;1983371;31;71137;1;1900000;NO FUGA
M;6420819;43;694168;1;2400000;FUGA
M;4087490;45;341170;1;3300000;FUGA
F;2315744;30;84723;1;1900000;NO FUGA
M;1091996;37;2415666;1;4500000;NO FUGA
F;6258526;36;294198;1;4400000;NO FUGA
M;15595;40;153214;1;3500000;NO FUGA
F;5511066;36;1421167;1;8000000;NO FUGA
F;25975;42;1426389;1;4200000;NO FUGA
F;28572;28;85806;3;1200000;NO FUGA
F;4538557;27;345805;0;8000000;NO FUGA
M;960901;52;0;1;5000000;FUGA
M;68274;47;1040717;2;3000000;FUGA
M;872727;38;187740;2;1200000;NO FUGA
M;390098;53;23543;1;8000000;NO FUGA
F;61058;40;150515;0;2200000;NO FUGA
F;190625;48;883540;1;1900000;FUGA
M;1097637;43;193435;3;1500000;FUGA
F;239849;42;1018114;2;5600000;FUGA
M;751995;45;86554;2;4000000;FUGA
M;14777;40;855407;1;8000000;FUGA
M;3934515;40;624265;1;3700000;FUGA
F;500311;50;556302;1;4700000;FUGA
F;824557;39;1214924;1;3700000;NO FUGA
F;1396099;42;762749;2;8000000;NO FUGA
M;529158;54;836109;1;5500000;NO FUGA
F;7801;45;323247;1;3600000;NO FUGA
M;242163;45;571326;2;1200000;FUGA
M;1006584;37;839025;1;5700000;NO FUGA
F;337607;36;471897;1;1500000;NO FUGA
M;39687;28;331469;2;5500000;NO FUGA
F;2597747;53;2032537;1;8000000;NO FUGA
M;471524;30;155635;2;2300000;NO FUGA
M;37341;31;774179;0;3500000;NO FUGA
F;1290610;33;586451;1;4400000;NO FUGA
F;413543;44;723237;1;8000000;NO FUGA
M;640034;54;391482;2;4400000;FUGA
F;953265;40;1017917;2;3400000;FUGA
F;103184;48;231875;2;750000;FUGA
F;33348;46;591912;1;8000000;NO FUGA
M;1209730;55;93804;3;7200000;NO FUGA
M;418763;38;1148983;1;2500000;NO FUGA
M;269022;51;296125;1;2200000;FUGA
M;4111;31;190882;1;2600000;FUGA
F;57715;48;148195;1;8000000;NO FUGA
M;605660;54;537991;1;8000000;FUGA
F;4403;33;1143508;1;2700000;NO FUGA
M;827826;46;200678;0;8000000;NO FUGA
M;768598;54;3111376;2;1200000;FUGA
F;41834;40;1011328;1;8000000;NO FUGA
M;387708;50;202634;2;1400000;FUGA
M;2201554;28;257653;2;8000000;NO FUGA
M;469134;29;561133;1;1200000;FUGA
M;2775;52;70901;1;2500000;FUGA
M;673656;37;907227;1;8000000;NO FUGA
M;699929;51;81817;2;4000000;NO FUGA
M;497012;52;4404798;2;2800000;FUGA
M;495554;60;1321241;1;1200000;NO FUGA
M;18690;42;1835;1;2800000;FUGA
F;72964;44;151872;1;1800000;NO FUGA
F;1932584;47;1161714;1;3400000;NO FUGA
M;5576;43;396790;2;800000;FUGA
M;285989;45;387357;1;1100000;FUGA
M;470376;45;546600;1;1900000;NO FUGA
M;2863478;41;550567;3;1100000;FUGA
M;491636;53;885288;3;3700000;FUGA
F;5475;46;15032;0;2000000;NO FUGA
M;215955;45;60738;3;2000000;FUGA
M;60884;48;702567;2;6100000;FUGA
M;50742;41;259210;1;4200000;FUGA
M;547745;55;1066577;1;3700000;FUGA
M;878626;46;10266;2;3100000;FUGA
M;337448;41;985433;1;1800000;FUGA
M;500438;59;477304;1;1600000;NO FUGA
M;193565;32;9;0;2400000;NO FUGA
M;481970;53;343229;3;8000000;NO FUGA
M;886832;55;74089;3;3400000;FUGA
M;3291947;40;74102;2;1800000;FUGA
M;2821667;42;670378;1;8000000;NO FUGA
M;5178340;44;451107;1;2000000;FUGA
M;21793;55;784794;1;500000;FUGA
F;1685802;38;124367;1;8000000;NO FUGA
F;52522;58;6192;1;8000000;NO FUGA
M;15383;52;71651;2;4200000;FUGA
M;225434;46;456199;2;2100000;FUGA
M;640375;41;1299716;2;3500000;FUGA
F;437952;37;346724;0;1700000;NO FUGA
M;377787;35;172509;0;1900000;NO FUGA
M;62859;41;16360;2;4100000;FUGA
M;4770084;43;3061544;2;4700000;FUGA
F;406723;47;108787;2;1400000;FUGA
M;93787;55;543592;3;1500000;FUGA
F;526855;52;167374;2;1600000;FUGA
M;387772;43;266744;1;1500000;FUGA
M;397914;44;803568;2;1100000;FUGA
F;27005;44;42072;1;8000000;NO FUGA
M;185804;51;938917;2;4600000;FUGA
M;275250;49;559662;2;750000;FUGA
M;279260;29;212646;1;3800000;NO FUGA
M;477916;40;617466;0;8000000;NO FUGA
M;59325;45;18539;1;2200000;FUGA
F;4218551;41;113342;1;2200000;NO FUGA
M;893729;44;757833;3;700000;FUGA
M;483940;37;32119;2;1800000;NO FUGA
M;473712;47;344624;1;8000000;FUGA
F;549778;49;1837763;1;5000000;NO FUGA
F;45024;59;208221;1;5000000;NO FUGA
F;308035;44;134231;1;1000000;NO FUGA
M;345332;32;820006;1;6200000;NO FUGA
M;259934;46;38125;1;1900000;FUGA
M;627607;46;4339574;2;1300000;FUGA
M;683160;48;130768;2;2500000;FUGA
M;44605;40;728010;3;6000000;FUGA
M;277963;30;123835;1;1900000;FUGA
M;670313;48;305330;1;2100000;FUGA
M;612074;38;578366;1;3100000;NO FUGA
M;1900351;51;26596;2;8000000;FUGA
F;60289;50;271529;1;2200000;FUGA
M;657298;47;569;3;3200000;FUGA
F;386339;32;128734;1;1600000;NO FUGA
F;216025;55;74806;1;1500000;NO FUGA
F;335700;29;504818;0;2100000;NO FUGA
F;2005924;44;26895;2;1300000;FUGA
F;9980;34;280888;1;3500000;NO FUGA
M;362676;49;958164;1;2700000;FUGA
M;275672;53;214004;2;3700000;FUGA
M;104089;50;231867;1;2700000;NO FUGA
F;97818;39;760599;3;6000000;NO FUGA
M;483107;37;135744;0;4800000;NO FUGA
F;40163;50;530317;1;1000000;NO FUGA
M;1921714;43;1914704;1;2000000;FUGA
M;53712;55;2737459;2;750000;FUGA
F;1159600;41;741684;1;5200000;NO FUGA
M;444026;39;160060;1;2500000;NO FUGA
F;3496879;31;923834;1;3400000;NO FUGA
M;632674;32;2148703;3;2100000;FUGA
F;202115;49;69859;1;1700000;FUGA
M;93593;54;655205;1;500000;FUGA
F;773141;43;1522004;1;4100000;NO FUGA
F;98010;40;390653;2;2000000;FUGA
F;6627448;38;285681;1;2300000;NO FUGA
M;844010;47;1831373;1;5100000;FUGA
M;249374;45;147370;1;4000000;FUGA
M;403206;38;20346;1;2500000;NO FUGA
M;3172052;40;1635225;1;2800000;FUGA
M;307188;52;8698;1;8000000;NO FUGA
M;45200;36;474026;0;2000000;NO FUGA
M;272709;55;426572;1;1000000;FUGA
M;439464;43;830616;2;6500000;FUGA
M;4735362;41;955890;2;8000000;FUGA
M;18927;45;1626382;1;3500000;FUGA
F;13266;48;230127;1;1000000;NO FUGA
M;1700415;61;93724;1;8000000;NO FUGA
M;169496;52;30869;1;1400000;FUGA
F;592820;51;6803;1;2200000;FUGA
M;656078;32;864901;2;3300000;FUGA
M;536031;29;80847;1;2000000;FUGA
M;47366;40;55491;1;4100000;FUGA
M;37803;40;871842;1;1500000;FUGA
F;7925751;44;277867;1;2300000;FUGA
M;64243;48;2888785;1;1800000;FUGA
F;5171701;30;382284;1;1500000;NO FUGA
M;383562;55;391298;1;1900000;FUGA
F;5412;51;433755;0;1900000;NO FUGA
M;310334;29;90476;2;1000000;NO FUGA
F;6934372;31;134199;1;1300000;NO FUGA
M;405498;48;483998;1;1800000;FUGA
F;489071;50;421873;0;1800000;NO FUGA
M;668028;35;59266;1;3300000;NO FUGA
M;9800;52;344395;3;2100000;FUGA
M;253567;52;1850094;1;2600000;FUGA
F;422770;52;2044923;1;8000000;NO FUGA
F;3340926;29;1506561;3;650000;NO FUGA
M;3146343;41;933095;1;4700000;FUGA
M;119333;48;853609;2;3700000;FUGA
M;192653;36;150731;1;1500000;NO FUGA
M;500354;55;417327;1;3100000;FUGA
M;124850;48;789329;1;1400000;FUGA
M;72612;33;796016;2;1300000;NO FUGA
F;7236218;34;634858;1;3000000;NO FUGA
F;72498;59;90839;1;1100000;NO FUGA
M;1353803;44;2827861;1;8000000;NO FUGA
M;87289;47;1670118;1;1700000;FUGA
F;338021;38;9;1;1700000;NO FUGA
M;348217;36;576688;1;1400000;NO FUGA
F;15112;49;568998;1;900000;NO FUGA
M;5528229;43;302109;1;5700000;FUGA
M;102812;43;530808;1;5600000;FUGA
F;863685;37;3412684;2;8000000;NO FUGA
M;352974;26;149156;1;2100000;FUGA
M;880555;35;13254;2;500000;NO FUGA
F;340746;29;9110;1;1800000;NO FUGA
M;450711;52;1561617;1;5100000;FUGA
M;640510;39;2900092;1;6000000;NO FUGA
M;3104744;42;1432494;1;8000000;FUGA
F;756852;30;204940;0;1700000;NO FUGA
F;4890279;40;556613;1;2100000;NO FUGA
F;11636;31;183629;1;1600000;NO FUGA
M;1712531;48;3457129;1;6900000;FUGA
M;13699;49;208133;1;1300000;FUGA
M;121580;41;761658;0;2200000;NO FUGA
F;49556;43;7194;0;5500000;NO FUGA
M;462932;33;84117;2;5000000;NO FUGA
M;617793;36;438828;1;1600000;NO FUGA
F;14375;48;2080;1;8000000;NO FUGA
M;872363;38;1552633;1;2500000;NO FUGA
M;32405;54;315044;1;1600000;FUGA
M;1413878;41;94548;2;5300000;FUGA
F;164309;30;3949;1;1600000;NO FUGA
M;43016;43;1695575;2;2300000;FUGA
M;297728;55;702362;2;1500000;FUGA
F;726493;49;762662;2;2400000;FUGA
F;7156977;39;235349;1;1600000;NO FUGA
F;129480;32;213873;0;2000000;NO FUGA
M;136815;47;100463;2;2000000;FUGA
M;465664;30;198257;2;3800000;NO FUGA
M;2331225;44;145564;2;6800000;FUGA
F;5758828;31;274704;0;1300000;NO FUGA
M;1888342;48;2891841;3;3100000;FUGA
M;131949;54;141647;1;1900000;FUGA
M;996430;47;116443;1;5300000;FUGA
M;886507;51;4572359;2;1600000;FUGA
M;1537631;40;273921;1;1800000;FUGA
M;168311;35;12604;1;2300000;NO FUGA
M;897485;47;141492;2;3200000;FUGA
F;5836070;39;421512;1;5600000;NO FUGA
F;122364;59;27148;1;1500000;NO FUGA
F;353992;32;421191;1;1900000;NO FUGA
F;451239;51;107458;1;4500000;FUGA
M;594870;34;609164;1;3100000;NO FUGA
F;6353;55;2903348;1;7500000;NO FUGA
M;63746;40;253227;2;5500000;FUGA
F;42134;47;9198;1;1800000;NO FUGA
M;31851;49;12903;3;1000000;FUGA
F;2673448;33;551942;1;2400000;NO FUGA
M;488117;48;181870;2;500000;FUGA
M;424477;53;2730582;3;3700000;FUGA
M;596552;53;409790;1;4400000;FUGA
F;147956;41;164939;2;1300000;FUGA
F;4532909;34;693735;1;4400000;NO FUGA
F;16875;57;780473;0;2200000;NO FUGA
M;19514;45;339424;1;5300000;FUGA
F;1788325;33;118876;1;1400000;NO FUGA
M;59440;54;5460391;1;6900000;FUGA
M;482916;54;906033;1;1800000;FUGA
F;1109482;32;1463;1;2300000;NO FUGA
M;253815;40;260224;2;550000;NO FUGA
F;6788792;39;78;1;6200000;NO FUGA
F;35782;34;726208;1;8000000;NO FUGA
M;915722;42;5161972;1;4400000;NO FUGA
M;236527;35;72788;1;1600000;NO FUGA
M;42965;53;791095;2;8000000;FUGA
M;289935;32;1080180;1;500000;NO FUGA
M;1197321;46;870507;2;4600000;FUGA
M;800916;43;137778;2;2000000;FUGA
M;65317;48;283341;2;3000000;FUGA
M;257521;29;61888;2;1500000;FUGA
F;413842;36;243667;0;1800000;NO FUGA
F;4208817;40;710046;1;750000;NO FUGA
M;1005743;40;1643657;1;4600000;FUGA
M;731142;36;981466;1;6100000;NO FUGA
M;5649370;41;758878;3;1400000;FUGA
F;43223;51;327401;1;1600000;FUGA
M;44621;42;2215546;1;3500000;FUGA
M;256606;40;1405164;2;5800000;FUGA
M;753222;51;1245544;2;2000000;FUGA
M;205697;46;465024;1;3100000;FUGA
M;67510;44;5405761;1;4600000;FUGA
F;165267;47;54340;1;1800000;FUGA
F;151483;52;191280;1;2100000;FUGA
M;608870;54;159020;1;5200000;FUGA
M;120343;40;586958;1;3400000;NO FUGA
F;3399416;36;45597;1;1600000;NO FUGA
M;698812;56;582589;1;3000000;NO FUGA
M;593727;42;1401651;1;2200000;FUGA
F;17031;58;6130507;1;7200000;NO FUGA
M;464764;40;2566906;3;1100000;FUGA
M;401391;30;327296;2;4200000;NO FUGA
F;10690;58;704446;1;8000000;NO FUGA
M;28342;50;1561820;3;2100000;FUGA
M;481077;47;69020;1;1900000;FUGA
F;38667;45;36296;1;2200000;NO FUGA
M;1058050;40;1595058;1;3600000;FUGA
F;5929521;28;145972;1;1400000;NO FUGA
M;961060;53;859881;3;3700000;FUGA
F;77853;50;996318;1;4200000;FUGA
M;321291;49;322673;1;1700000;FUGA
M;9712;43;691496;1;8000000;FUGA
F;5091925;35;69392;1;3600000;NO FUGA
F;3825;53;397120;1;6900000;NO FUGA
F;412895;39;944633;1;1000000;NO FUGA
M;1021034;44;19792;1;8000000;NO FUGA
F;354887;29;4;1;2000000;NO FUGA
F;1231718;40;285668;0;3100000;NO FUGA
F;589118;34;313870;1;2900000;NO FUGA
F;658564;41;19331;0;3500000;NO FUGA
F;445727;33;621474;1;1400000;NO FUGA
F;132645;47;270015;2;1800000;FUGA
M;222285;47;521698;1;1500000;FUGA
F;2946565;38;597047;0;4800000;NO FUGA
M;9391;51;104802;1;1600000;FUGA
M;564286;49;367329;1;6500000;NO FUGA
M;398430;46;17092;1;2400000;NO FUGA
F;234256;28;172331;2;1100000;FUGA
M;1335995;42;439640;0;8000000;NO FUGA
M;45462;46;797025;0;2800000;NO FUGA
M;481;40;536149;2;1900000;FUGA
M;781520;40;2181101;2;5800000;FUGA
M;60795;53;677923;2;5100000;FUGA
M;4024;55;3098658;1;5000000;FUGA
M;26423;50;122989;3;3200000;FUGA
M;1717988;41;80443;1;3100000;FUGA
M;2750602;38;9209;1;500000;FUGA
M;514626;34;7544;3;500000;NO FUGA
M;248411;45;770789;1;1400000;FUGA
M;656457;53;35790;1;3700000;FUGA
F;543433;39;1084341;1;3700000;NO FUGA
M;453021;32;503;0;2400000;NO FUGA
M;7534407;41;780314;2;1700000;FUGA
M;138123;51;302899;1;1700000;FUGA
F;54314;44;986690;1;8000000;NO FUGA
M;655528;49;493252;2;8000000;NO FUGA
M;634884;49;406813;2;3700000;FUGA
F;496122;48;241210;1;3800000;FUGA
M;26094;41;484429;1;2000000;FUGA
M;126888;55;62444;1;2200000;FUGA
M;54415;41;142071;2;2000000;FUGA
F;243039;54;13708;1;1800000;FUGA
F;72323;59;14583293;1;6000000;NO FUGA
F;38731;45;1645204;1;8000000;NO FUGA
M;3168350;41;542525;1;3600000;FUGA
M;585539;40;568781;1;4200000;NO FUGA
M;60075;41;535070;1;4600000;NO FUGA
M;117458;40;500016;2;1200000;NO FUGA
M;102861;34;10393;1;1800000;NO FUGA
M;505416;46;958532;1;1100000;FUGA
M;190616;41;2404032;1;550000;NO FUGA
M;126066;45;2497;2;2300000;FUGA
M;505992;53;921584;1;2300000;FUGA
F;3427992;41;546679;1;4500000;NO FUGA
M;717379;50;489495;3;3900000;FUGA
M;95994;47;191762;1;7200000;FUGA
M;4578;50;1125406;2;2200000;FUGA
M;8020917;42;290207;1;2300000;FUGA
F;324104;42;250138;1;2200000;NO FUGA
F;271922;57;160;1;8000000;NO FUGA
M;90292;54;183052;1;1600000;FUGA
M;131600;34;387577;1;6000000;NO FUGA
F;564340;49;337893;1;1300000;FUGA
M;640176;32;282181;1;1900000;NO FUGA
F;2743689;31;4009023;1;4800000;NO FUGA
F;1410452;47;524170;0;6700000;NO FUGA
F;7759;45;37865;0;2400000;NO FUGA
M;511229;50;1416851;2;1200000;FUGA
M;4385;40;579659;1;2300000;FUGA
M;123879;45;200407;3;650000;FUGA
F;472004;41;120747;0;1200000;NO FUGA
M;10598;40;219180;1;2100000;NO FUGA
M;1127472;47;748846;3;1300000;FUGA
M;445566;36;573440;2;1100000;NO FUGA
F;1479060;29;520218;1;900000;NO FUGA
M;6740670;43;122813;3;1500000;FUGA
M;82084;49;1430507;2;5000000;NO FUGA
M;35425;42;81300;1;3400000;FUGA
M;47657;52;1898905;2;8000000;FUGA
M;167369;40;290554;2;1700000;FUGA
M;400201;48;333386;3;8000000;FUGA
M;845491;52;1785869;1;1800000;FUGA
M;57587;40;480140;2;3700000;FUGA
F;159391;31;567513;1;1300000;NO FUGA
F;852120;49;380509;2;3500000;NO FUGA
F;760584;38;370257;0;3100000;NO FUGA
M;778198;52;58226;2;3700000;FUGA
F;114798;54;151643;1;2100000;FUGA
F;56465;29;86366;1;1900000;NO FUGA
F;366803;58;355961;1;3600000;NO FUGA
M;395725;47;1529942;1;8000000;NO FUGA
F;913557;49;982759;1;4200000;NO FUGA
F;41890;58;7016;1;3500000;NO FUGA
F;1254052;30;578015;1;7200000;NO FUGA
F;6260635;33;284983;3;2400000;NO FUGA
F;4842828;32;829307;0;5000000;NO FUGA
F;423;38;171670;1;1800000;NO FUGA
M;260625;42;1301092;2;3700000;FUGA
M;419028;44;485108;1;750000;FUGA
F;3308;45;16085;0;5400000;NO FUGA
M;1117204;34;2734023;1;6500000;NO FUGA
M;2937247;42;3937007;3;1500000;FUGA
M;365711;43;166298;2;3400000;FUGA
M;70576;60;463101;1;2000000;NO FUGA
M;1352552;37;4126995;2;8000000;NO FUGA
F;3175925;37;1660841;1;2300000;NO FUGA
M;1066626;38;1;1;7500000;NO FUGA
M;1697099;51;5879705;1;8000000;FUGA
M;72232;38;278361;0;1500000;NO FUGA
M;3031010;44;5535076;3;5500000;NO FUGA
M;162383;44;946147;3;5200000;NO FUGA
F;2157567;55;21126178;2;8000000;NO FUGA
F;702901;54;339348;3;1500000;FUGA
F;12064;55;304362;3;4200000;FUGA
M;181949;43;888442;2;1200000;FUGA
F;199196;47;1187;1;4100000;FUGA
F;3808825;34;135874;1;4000000;NO FUGA
F;61176;45;73723;1;3600000;NO FUGA
M;61381;32;135798;3;1400000;FUGA
F;129828;26;86340;1;1200000;NO FUGA
F;2327598;52;1509361;3;8000000;FUGA
F;407152;36;787475;1;6200000;NO FUGA
M;783620;43;529994;1;6700000;NO FUGA
F;11874;45;523513;0;3300000;NO FUGA
F;31489;51;3629405;0;8000000;NO FUGA
M;243431;45;36848;1;1700000;FUGA
M;1029577;52;283957;3;5100000;FUGA
F;420613;61;945989;1;900000;NO FUGA
M;358586;48;930255;1;650000;FUGA
F;31796;38;38510;1;5500000;NO FUGA
M;844163;46;18400839;2;5900000;FUGA
F;908291;32;700314;1;2800000;NO FUGA
M;376951;38;81995;1;2500000;NO FUGA
M;284464;30;459349;1;1500000;FUGA
M;230916;52;599071;1;3800000;FUGA
M;1656323;44;109483;1;2600000;FUGA
M;33103;41;3074129;1;550000;NO FUGA
M;28967;35;259327;1;2000000;NO FUGA
M;252882;33;451868;2;2900000;NO FUGA
M;724035;54;24102;1;4100000;FUGA
F;1120089;31;2227163;1;8000000;NO FUGA
M;1470885;43;2176847;1;1300000;FUGA
M;124830;46;923888;2;8000000;FUGA
M;1070577;45;3890;1;5500000;FUGA
M;250163;39;376085;1;4100000;NO FUGA
M;620061;38;789967;3;750000;NO FUGA
F;347036;49;62;1;2300000;NO FUGA
M;14799;44;456169;1;1400000;FUGA
M;289356;29;131287;1;2000000;FUGA
M;1320655;52;372595;2;8000000;FUGA
F;61579;46;37;1;5000000;NO FUGA
M;310062;46;1083517;1;8000000;FUGA
F;252708;50;1269110;1;7900000;NO FUGA
M;971700;36;858948;0;5200000;NO FUGA
M;492385;30;377950;2;4200000;NO FUGA
M;6533655;40;254546;1;1200000;FUGA
M;4232227;34;930477;1;1300000;FUGA
M;465801;40;546108;2;2300000;FUGA
F;520553;52;302242;0;8000000;NO FUGA
F;3120;50;428214;3;900000;NO FUGA
M;44603;63;408761;2;1100000;NO FUGA
F;4023923;35;446474;1;1800000;NO FUGA
F;15381;52;122003;1;1800000;NO FUGA
M;138092;51;111289;2;2700000;FUGA
M;754874;60;503554;1;3400000;NO FUGA
F;40091;55;297117;1;3600000;NO FUGA
M;5960424;44;330856;2;900000;FUGA
M;944428;47;4446923;2;3000000;FUGA
F;53908;57;486991;1;5600000;NO FUGA
M;424642;45;44530;1;2700000;FUGA
M;35223;43;4247759;1;5200000;FUGA
M;193879;36;688092;0;6000000;NO FUGA
M;1106668;46;3405115;1;8000000;FUGA
F;997742;48;1118608;3;6200000;NO FUGA
M;235298;57;1387245;1;6900000;NO FUGA
M;3007474;43;305602;3;1700000;FUGA
F;291319;27;162502;1;4800000;NO FUGA
M;459311;30;18218;1;2000000;NO FUGA
F;207252;46;424201;0;1000000;NO FUGA
F;25084;48;311786;1;3300000;NO FUGA
M;24087;50;1031423;1;650000;FUGA
M;442061;38;1;0;2000000;NO FUGA
M;1113488;47;134689;0;6100000;NO FUGA
M;48372;45;1370089;1;8000000;FUGA
M;656016;53;8617;1;3500000;FUGA
M;840756;41;349857;1;8000000;NO FUGA
F;585117;40;1929187;2;2400000;FUGA
F;99008;29;54490;1;2200000;FUGA
F;20284;42;1170497;0;2500000;NO FUGA
M;957550;38;4848525;1;7400000;NO FUGA
F;317757;50;528256;2;500000;FUGA
M;3505588;43;95057;1;1600000;FUGA
M;42951;45;595407;3;1100000;FUGA
M;1226683;38;534098;2;3700000;NO FUGA
M;327161;47;160442;1;1900000;FUGA
F;216601;55;703772;1;2100000;NO FUGA
F;409436;49;0;1;2400000;NO FUGA
M;1015846;44;305569;3;700000;FUGA
M;28955;41;312385;2;1700000;FUGA
F;643320;39;653658;3;6000000;NO FUGA
F;25013;41;4461183;1;4900000;NO FUGA
M;36664;43;1443060;2;1600000;FUGA
F;59582;50;785422;3;2800000;NO FUGA
M;88071;44;8315;1;2200000;FUGA
F;159347;45;476132;1;1800000;FUGA
F;352807;48;1283206;1;1500000;FUGA
F;483682;33;206924;1;2200000;FUGA
F;148294;45;852106;1;4000000;FUGA
M;823454;51;2297746;3;2100000;FUGA
F;428276;54;84637;1;1400000;FUGA
M;145283;57;387430;0;2200000;NO FUGA
F;49288;36;908562;1;1000000;NO FUGA
M;39883;48;240136;1;2400000;FUGA
M;1125508;52;363762;1;8000000;NO FUGA
M;949270;34;1149454;1;4900000;NO FUGA
F;20167;38;1301472;1;1200000;NO FUGA
F;686113;28;2517;0;5000000;NO FUGA
F;18068;59;554117;1;8000000;NO FUGA
M;378057;50;255780;1;2400000;FUGA
M;2560217;36;894235;2;2600000;FUGA
F;58145;45;2322583;0;2500000;NO FUGA
F;167294;52;42537;1;1800000;FUGA
F;137370;29;10;1;2000000;NO FUGA
M;71981;27;201329;0;2100000;NO FUGA
M;444087;46;2461406;1;8000000;FUGA
M;620304;49;1124220;3;2100000;FUGA
F;619069;55;982085;1;650000;FUGA
M;373093;40;297260;1;2600000;NO FUGA
M;1611428;41;418448;1;8000000;NO FUGA
M;60540;52;1126577;1;2900000;FUGA
F;4197233;40;0;0;1800000;NO FUGA
M;844726;50;1848779;1;2100000;FUGA
M;234898;29;204868;2;1500000;FUGA
M;4155275;40;3975486;3;4500000;FUGA
F;1753210;40;698373;1;8000000;NO FUGA
M;11085;27;218995;1;2000000;FUGA
M;15712;25;103120;0;2000000;NO FUGA
M;1954989;44;1671070;1;8000000;NO FUGA
M;457640;37;477666;1;2300000;NO FUGA
M;173040;43;295213;0;1400000;NO FUGA
M;592037;52;607807;2;8000000;FUGA
F;648727;30;92109;2;1000000;FUGA
F;21146;60;288262;1;8000000;NO FUGA
F;449220;49;209571;3;1800000;FUGA
F;7150;50;516137;3;8000000;NO FUGA
F;53764;46;297944;1;800000;NO FUGA
F;1243;49;121121;0;8000000;NO FUGA
F;220786;35;51273;3;1100000;NO FUGA
M;90406;26;682571;2;1200000;FUGA
M;590178;50;287730;1;3000000;FUGA
M;1291138;43;3408238;1;5200000;FUGA
F;4242301;40;829216;1;4100000;NO FUGA
M;394312;51;36281;2;1700000;NO FUGA
M;23379;40;182185;2;8000000;FUGA
F;59352;47;180369;1;1500000;NO FUGA
F;615622;48;120652;0;2500000;NO FUGA
M;1260200;43;507162;3;650000;FUGA
M;908590;39;303151;2;4300000;NO FUGA
M;251966;47;271596;1;1400000;FUGA
M;50498;43;1139494;1;4700000;FUGA
F;329927;42;23242;1;1600000;NO FUGA
F;42224;53;437645;1;7500000;NO FUGA
F;993064;38;185039;1;750000;NO FUGA
