GENERO;RENTA;EDAD;TOTAL_DEUDA;M_MOROSO;MONTO
F;5412;51;433755;0;1900000
M;310334;29;90476;2;1000000
F;6934372;31;134199;1;1300000
M;405498;48;483998;1;1800000
F;489071;50;421873;0;1800000
M;668028;35;59266;1;3300000
M;9800;52;344395;3;2100000
M;253567;52;1850094;1;2600000
F;422770;52;2044923;1;8000000
F;3340926;29;1506561;3;650000
M;3146343;41;933095;1;4700000
M;119333;48;853609;2;3700000
M;192653;36;150731;1;1500000
M;500354;55;417327;1;3100000
M;124850;48;789329;1;1400000
M;72612;33;796016;2;1300000
F;7236218;34;634858;1;3000000
F;72498;59;90839;1;1100000
M;1353803;44;2827861;1;8000000
M;87289;47;1670118;1;1700000
F;338021;38;9;1;1700000
M;348217;36;576688;1;1400000
F;15112;49;568998;1;900000
M;5528229;43;302109;1;5700000
M;102812;43;530808;1;5600000
F;863685;37;3412684;2;8000000
M;352974;26;149156;1;2100000
M;880555;35;13254;2;500000
F;340746;29;9110;1;1800000
M;450711;52;1561617;1;5100000
M;640510;39;2900092;1;6000000
M;3104744;42;1432494;1;8000000
F;756852;30;204940;0;1700000
F;4890279;40;556613;1;2100000
F;11636;31;183629;1;1600000
M;1712531;48;3457129;1;6900000
M;13699;49;208133;1;1300000
M;121580;41;761658;0;2200000
F;49556;43;7194;0;5500000
M;462932;33;84117;2;5000000
M;617793;36;438828;1;1600000
F;14375;48;2080;1;8000000
M;872363;38;1552633;1;2500000
M;32405;54;315044;1;1600000
M;1413878;41;94548;2;5300000
F;164309;30;3949;1;1600000
M;43016;43;1695575;2;2300000
M;297728;55;702362;2;1500000
F;726493;49;762662;2;2400000
F;7156977;39;235349;1;1600000
F;129480;32;213873;0;2000000
M;136815;47;100463;2;2000000
M;465664;30;198257;2;3800000
M;2331225;44;145564;2;6800000
F;5758828;31;274704;0;1300000
M;1888342;48;2891841;3;3100000
M;131949;54;141647;1;1900000
M;996430;47;116443;1;5300000
M;886507;51;4572359;2;1600000
M;1537631;40;273921;1;1800000
M;168311;35;12604;1;2300000
M;897485;47;141492;2;3200000
F;5836070;39;421512;1;5600000
F;122364;59;27148;1;1500000
F;353992;32;421191;1;1900000
F;451239;51;107458;1;4500000
M;594870;34;609164;1;3100000
F;6353;55;2903348;1;7500000
M;63746;40;253227;2;5500000
F;42134;47;9198;1;1800000
M;31851;49;12903;3;1000000
F;2673448;33;551942;1;2400000
M;488117;48;181870;2;500000
M;424477;53;2730582;3;3700000
M;596552;53;409790;1;4400000
F;147956;41;164939;2;1300000
F;4532909;34;693735;1;4400000
F;16875;57;780473;0;2200000
M;19514;45;339424;1;5300000
F;1788325;33;118876;1;1400000
M;59440;54;5460391;1;6900000
M;482916;54;906033;1;1800000
F;1109482;32;1463;1;2300000
M;253815;40;260224;2;550000
F;6788792;39;78;1;6200000
F;35782;34;726208;1;8000000
M;915722;42;5161972;1;4400000
M;236527;35;72788;1;1600000
M;42965;53;791095;2;8000000
M;289935;32;1080180;1;500000
M;1197321;46;870507;2;4600000
M;800916;43;137778;2;2000000
M;65317;48;283341;2;3000000
M;257521;29;61888;2;1500000
F;413842;36;243667;0;1800000
F;4208817;40;710046;1;750000
M;1005743;40;1643657;1;4600000
M;731142;36;981466;1;6100000
M;5649370;41;758878;3;1400000
F;43223;51;327401;1;1600000
M;44621;42;2215546;1;3500000
M;256606;40;1405164;2;5800000
M;753222;51;1245544;2;2000000
M;205697;46;465024;1;3100000
M;67510;44;5405761;1;4600000
F;165267;47;54340;1;1800000
F;151483;52;191280;1;2100000
M;608870;54;159020;1;5200000
M;120343;40;586958;1;3400000
F;3399416;36;45597;1;1600000
M;698812;56;582589;1;3000000
M;593727;42;1401651;1;2200000
F;17031;58;6130507;1;7200000
M;464764;40;2566906;3;1100000
M;401391;30;327296;2;4200000
F;10690;58;704446;1;8000000
M;28342;50;1561820;3;2100000
M;481077;47;69020;1;1900000
F;38667;45;36296;1;2200000
M;1058050;40;1595058;1;3600000
F;5929521;28;145972;1;1400000
M;961060;53;859881;3;3700000
F;77853;50;996318;1;4200000
M;321291;49;322673;1;1700000
M;9712;43;691496;1;8000000
F;5091925;35;69392;1;3600000
F;3825;53;397120;1;6900000
F;412895;39;944633;1;1000000
M;1021034;44;19792;1;8000000
F;354887;29;4;1;2000000
F;1231718;40;285668;0;3100000
F;589118;34;313870;1;2900000
F;658564;41;19331;0;3500000
F;445727;33;621474;1;1400000
F;132645;47;270015;2;1800000
M;222285;47;521698;1;1500000
F;2946565;38;597047;0;4800000
M;9391;51;104802;1;1600000
M;564286;49;367329;1;6500000
M;398430;46;17092;1;2400000
F;234256;28;172331;2;1100000
M;1335995;42;439640;0;8000000
M;45462;46;797025;0;2800000
M;481;40;536149;2;1900000
M;781520;40;2181101;2;5800000
M;60795;53;677923;2;5100000
M;4024;55;3098658;1;5000000
M;26423;50;122989;3;3200000
M;1717988;41;80443;1;3100000
M;2750602;38;9209;1;500000
M;514626;34;7544;3;500000
M;248411;45;770789;1;1400000
M;656457;53;35790;1;3700000
F;543433;39;1084341;1;3700000
M;453021;32;503;0;2400000
M;7534407;41;780314;2;1700000
M;138123;51;302899;1;1700000
F;54314;44;986690;1;8000000
M;655528;49;493252;2;8000000
M;634884;49;406813;2;3700000
F;496122;48;241210;1;3800000
M;26094;41;484429;1;2000000
M;126888;55;62444;1;2200000
M;54415;41;142071;2;2000000
F;243039;54;13708;1;1800000
F;72323;59;14583293;1;6000000
F;38731;45;1645204;1;8000000
M;3168350;41;542525;1;3600000
M;585539;40;568781;1;4200000
M;60075;41;535070;1;4600000
M;117458;40;500016;2;1200000
M;102861;34;10393;1;1800000
M;505416;46;958532;1;1100000
M;190616;41;2404032;1;550000
M;126066;45;2497;2;2300000
M;505992;53;921584;1;2300000
F;3427992;41;546679;1;4500000
M;717379;50;489495;3;3900000
M;95994;47;191762;1;7200000
M;4578;50;1125406;2;2200000
M;8020917;42;290207;1;2300000
F;324104;42;250138;1;2200000
F;271922;57;160;1;8000000
M;90292;54;183052;1;1600000
M;131600;34;387577;1;6000000
F;564340;49;337893;1;1300000
M;640176;32;282181;1;1900000
F;2743689;31;4009023;1;4800000
F;1410452;47;524170;0;6700000
F;7759;45;37865;0;2400000
M;511229;50;1416851;2;1200000
M;4385;40;579659;1;2300000
M;123879;45;200407;3;650000
F;472004;41;120747;0;1200000
M;10598;40;219180;1;2100000
M;1127472;47;748846;3;1300000
M;445566;36;573440;2;1100000
F;1479060;29;520218;1;900000
M;6740670;43;122813;3;1500000
M;82084;49;1430507;2;5000000
M;35425;42;81300;1;3400000
M;47657;52;1898905;2;8000000
M;167369;40;290554;2;1700000
M;400201;48;333386;3;8000000
M;845491;52;1785869;1;1800000
M;57587;40;480140;2;3700000
F;159391;31;567513;1;1300000
F;852120;49;380509;2;3500000
F;760584;38;370257;0;3100000
M;778198;52;58226;2;3700000
F;114798;54;151643;1;2100000
F;56465;29;86366;1;1900000
F;366803;58;355961;1;3600000
M;395725;47;1529942;1;8000000
F;913557;49;982759;1;4200000
F;41890;58;7016;1;3500000
F;1254052;30;578015;1;7200000
F;6260635;33;284983;3;2400000
F;4842828;32;829307;0;5000000
F;423;38;171670;1;1800000
M;260625;42;1301092;2;3700000
M;419028;44;485108;1;750000
F;3308;45;16085;0;5400000
M;1117204;34;2734023;1;6500000
M;2937247;42;3937007;3;1500000
M;365711;43;166298;2;3400000
M;70576;60;463101;1;2000000
M;1352552;37;4126995;2;8000000
F;3175925;37;1660841;1;2300000
M;1066626;38;1;1;7500000
M;1697099;51;5879705;1;8000000
M;72232;38;278361;0;1500000
M;3031010;44;5535076;3;5500000
M;162383;44;946147;3;5200000
F;2157567;55;21126178;2;8000000
F;702901;54;339348;3;1500000
F;12064;55;304362;3;4200000
M;181949;43;888442;2;1200000
F;199196;47;1187;1;4100000
F;3808825;34;135874;1;4000000
F;61176;45;73723;1;3600000
M;61381;32;135798;3;1400000
F;129828;26;86340;1;1200000
F;2327598;52;1509361;3;8000000
F;407152;36;787475;1;6200000
M;783620;43;529994;1;6700000
F;11874;45;523513;0;3300000
F;31489;51;3629405;0;8000000
M;243431;45;36848;1;1700000
M;1029577;52;283957;3;5100000
F;420613;61;945989;1;900000
M;358586;48;930255;1;650000
F;31796;38;38510;1;5500000
M;844163;46;18400839;2;5900000
F;908291;32;700314;1;2800000
M;376951;38;81995;1;2500000
M;284464;30;459349;1;1500000
M;230916;52;599071;1;3800000
M;1656323;44;109483;1;2600000
M;33103;41;3074129;1;550000
M;28967;35;259327;1;2000000
M;252882;33;451868;2;2900000
M;724035;54;24102;1;4100000
F;1120089;31;2227163;1;8000000
M;1470885;43;2176847;1;1300000
M;124830;46;923888;2;8000000
M;1070577;45;3890;1;5500000
M;250163;39;376085;1;4100000
M;620061;38;789967;3;750000
F;347036;49;62;1;2300000
M;14799;44;456169;1;1400000
M;289356;29;131287;1;2000000
M;1320655;52;372595;2;8000000
F;61579;46;37;1;5000000
M;310062;46;1083517;1;8000000
F;252708;50;1269110;1;7900000
M;971700;36;858948;0;5200000
M;492385;30;377950;2;4200000
M;6533655;40;254546;1;1200000
M;4232227;34;930477;1;1300000
M;465801;40;546108;2;2300000
F;520553;52;302242;0;8000000
F;3120;50;428214;3;900000
M;44603;63;408761;2;1100000
F;4023923;35;446474;1;1800000
F;15381;52;122003;1;1800000
M;138092;51;111289;2;2700000
M;754874;60;503554;1;3400000
F;40091;55;297117;1;3600000
M;5960424;44;330856;2;900000
M;944428;47;4446923;2;3000000
F;53908;57;486991;1;5600000
M;424642;45;44530;1;2700000
M;35223;43;4247759;1;5200000
M;193879;36;688092;0;6000000
M;1106668;46;3405115;1;8000000
F;997742;48;1118608;3;6200000
M;235298;57;1387245;1;6900000
M;3007474;43;305602;3;1700000
F;291319;27;162502;1;4800000
M;459311;30;18218;1;2000000
F;207252;46;424201;0;1000000
F;25084;48;311786;1;3300000
M;24087;50;1031423;1;650000
M;442061;38;1;0;2000000
M;1113488;47;134689;0;6100000
M;48372;45;1370089;1;8000000
M;656016;53;8617;1;3500000
M;840756;41;349857;1;8000000
F;585117;40;1929187;2;2400000
F;99008;29;54490;1;2200000
F;20284;42;1170497;0;2500000
M;957550;38;4848525;1;7400000
F;317757;50;528256;2;500000
M;3505588;43;95057;1;1600000
M;42951;45;595407;3;1100000
M;1226683;38;534098;2;3700000
M;327161;47;160442;1;1900000
F;216601;55;703772;1;2100000
F;409436;49;0;1;2400000
M;1015846;44;305569;3;700000
M;28955;41;312385;2;1700000
F;643320;39;653658;3;6000000
F;25013;41;4461183;1;4900000
M;36664;43;1443060;2;1600000
F;59582;50;785422;3;2800000
M;88071;44;8315;1;2200000
F;159347;45;476132;1;1800000
F;352807;48;1283206;1;1500000
F;483682;33;206924;1;2200000
F;148294;45;852106;1;4000000
M;823454;51;2297746;3;2100000
F;428276;54;84637;1;1400000
M;145283;57;387430;0;2200000
F;49288;36;908562;1;1000000
M;39883;48;240136;1;2400000
M;1125508;52;363762;1;8000000
M;949270;34;1149454;1;4900000
F;20167;38;1301472;1;1200000
F;686113;28;2517;0;5000000
F;18068;59;554117;1;8000000
M;378057;50;255780;1;2400000
M;2560217;36;894235;2;2600000
F;58145;45;2322583;0;2500000
F;167294;52;42537;1;1800000
F;137370;29;10;1;2000000
M;71981;27;201329;0;2100000
M;444087;46;2461406;1;8000000
M;620304;49;1124220;3;2100000
F;619069;55;982085;1;650000
M;373093;40;297260;1;2600000
M;1611428;41;418448;1;8000000
M;60540;52;1126577;1;2900000
F;4197233;40;0;0;1800000
M;844726;50;1848779;1;2100000
M;234898;29;204868;2;1500000
M;4155275;40;3975486;3;4500000
F;1753210;40;698373;1;8000000
M;11085;27;218995;1;2000000
M;15712;25;103120;0;2000000
M;1954989;44;1671070;1;8000000
M;457640;37;477666;1;2300000
M;173040;43;295213;0;1400000
M;592037;52;607807;2;8000000
F;648727;30;92109;2;1000000
F;21146;60;288262;1;8000000
F;449220;49;209571;3;1800000
F;7150;50;516137;3;8000000
F;53764;46;297944;1;800000
F;1243;49;121121;0;8000000
F;220786;35;51273;3;1100000
M;90406;26;682571;2;1200000
M;590178;50;287730;1;3000000
M;1291138;43;3408238;1;5200000
F;4242301;40;829216;1;4100000
M;394312;51;36281;2;1700000
M;23379;40;182185;2;8000000
F;59352;47;180369;1;1500000
F;615622;48;120652;0;2500000
M;1260200;43;507162;3;650000
M;908590;39;303151;2;4300000
M;251966;47;271596;1;1400000
M;50498;43;1139494;1;4700000
F;329927;42;23242;1;1600000
F;42224;53;437645;1;7500000
F;993064;38;185039;1;750000
F;6950442;37;825940;1;4800000
M;34818;43;5758;2;900000
M;155511;43;29090;1;1500000
M;238749;55;128906;2;550000
M;501336;41;11578373;2;8000000
M;686731;52;806848;1;3300000
M;4780941;43;3593463;1;6200000
F;2197399;31;316;0;2700000
M;529982;51;26581;2;3100000
M;792478;53;168329;1;5800000
F;183585;47;31700;1;2400000
F;893679;45;698756;2;6500000
M;105315;40;2071087;1;1600000
M;917565;43;1016;1;3700000
M;830317;51;918484;1;8000000
F;4288458;55;15744558;2;8000000
F;589952;43;1010872;1;500000
M;111297;50;133652;1;1900000
F;31098;44;494281;0;1500000
F;512368;53;419316;1;7300000
F;172323;45;1129078;1;700000
M;482564;21;36078;1;3400000
M;1026105;28;196561;1;5500000
M;168898;26;828332;1;1100000
M;239315;53;913164;1;8000000
M;254724;32;615292;1;2400000
F;660696;50;254;1;1900000
M;1665222;52;82780;2;5500000
F;146185;30;606525;1;1100000
M;386456;41;362105;1;4300000
M;55717;50;269177;2;1500000
M;1080303;43;862587;1;5800000
M;794764;38;17420;3;2500000
F;2208481;33;44642;1;2100000
M;49053;40;1782158;2;1200000
F;342480;29;39756;1;700000
F;86929;52;48943;1;1600000
F;180426;43;0;0;2200000
F;3804224;51;55688;3;8000000
M;62336;40;167040;1;3500000
M;425360;54;426932;1;8000000
F;4429595;40;400721;1;3900000
M;491948;31;311828;2;1400000
F;58419;38;2087773;1;5000000
M;426010;31;72438;1;1700000
M;624386;32;383293;1;3600000
M;49126;42;325269;1;3400000
F;6821416;38;193016;1;8000000
M;37101;44;775652;1;8000000
M;722976;38;4581629;1;4300000
M;461988;47;97311;1;1600000
F;173589;45;38926;1;1900000
F;412394;36;189802;1;1400000
F;6875424;38;312844;1;550000
M;2481794;44;307805;1;4800000
M;174759;49;1683748;2;2100000
M;682092;28;114572;2;5500000
F;17383;44;1658;0;4500000
M;46083;40;2858705;2;6500000
M;1310537;40;1001208;1;3500000
F;1595291;40;32440;0;8000000
M;753243;49;49658;1;4600000
M;214119;41;613291;1;2900000
F;39653;34;1102523;1;3500000
M;459702;31;115139;1;1800000
F;44123;44;198130;3;8000000
M;498511;47;159102;1;2400000
F;20957;52;268085;1;2300000
F;477134;48;1721199;1;600000
M;412472;52;182365;1;1900000
M;482469;39;721402;2;1100000
M;1477802;40;414413;3;3000000
M;115805;49;566783;1;1500000
F;544803;53;625;1;2400000
F;552821;41;538907;2;4600000
M;46683;46;1229195;3;7000000
M;15086;34;674313;1;900000
M;1083289;47;370498;3;5100000
F;1941545;35;616886;1;1500000
M;34536;42;321099;1;6800000
M;699938;49;455301;1;3300000
M;1530;37;327461;2;2400000
F;395316;58;61392;1;1900000
M;408792;51;264061;3;4700000
M;36300;41;132615;1;4100000
F;114996;59;1291671;1;4100000
M;301939;41;29136;1;3300000
F;1292296;37;2390294;1;1300000
M;308625;43;654356;1;4100000
M;203148;41;433993;1;800000
M;434232;47;304607;1;1700000
M;2348095;44;58771;1;1800000
F;6832;39;549064;1;1000000
F;912486;34;14611658;1;8000000
F;765768;47;1162940;1;4600000
F;11386;50;3570550;1;3600000
M;918;45;228682;3;8000000
M;132181;37;87625;1;1600000
M;340784;35;33125;1;1600000
F;2335262;53;1918;1;8000000
F;1247427;32;83489;1;1400000
M;820800;41;1086264;2;7500000
M;120594;41;849789;1;3900000
M;185388;54;1373667;1;5000000
F;149899;41;6;0;2100000
M;102924;47;791590;3;2300000
F;423750;41;916971;2;3100000
F;194566;49;137988;1;1800000
M;164638;48;96726;1;1700000
F;176;44;1713;1;2200000
M;186248;45;348736;2;3900000
F;27510;46;206416;1;2400000
M;62909;50;217843;1;2000000
M;535592;49;195488;2;700000
F;239391;34;153820;1;2600000
M;3171246;53;84443;3;8000000
M;1591867;46;1089766;1;8000000
M;46293;34;643811;1;3100000
F;690174;49;426176;1;4400000
F;3229040;47;1164897;1;8000000
M;348365;51;397010;3;4700000
F;4733057;34;122902;3;2500000
F;439913;42;18692;1;2300000
M;2025932;44;222031;1;8000000
M;1489720;47;2043849;2;8000000
F;101775;29;56861;1;1400000
F;2124808;47;424188;1;8000000
M;446366;41;138055;1;4600000
F;294023;25;387753;1;1600000
M;478906;42;763050;1;3400000
M;27139;45;963993;1;2300000
M;674162;47;104400;1;3500000
F;2340577;40;1253860;1;8000000
F;276516;41;0;0;5300000
F;4379825;53;195242;1;8000000
M;7803;54;568941;1;8000000
M;4711253;48;1068197;3;3100000
M;37796;45;294942;3;1400000
M;440924;53;327444;1;900000
M;1558386;43;501225;1;2300000
M;523589;37;1423641;1;5300000
F;490;42;591391;1;3800000
F;388586;25;279291;0;1800000
M;444529;51;28674;1;1900000
F;330571;50;0;0;5000000
M;1856518;53;1626197;1;8000000
F;79390;41;469371;0;6200000
M;2880835;63;821165;2;8000000
F;602088;25;202848;1;2400000
F;14536;43;89433;1;8000000
M;1214630;53;221914;1;5800000
M;2118457;45;1257761;2;8000000
M;63652;27;67411;1;1500000
F;1072881;45;41707;2;4800000
M;4735695;42;1395420;2;8000000
M;42317;54;559560;1;4000000
F;229931;49;248942;1;1900000
M;401259;32;939336;1;2400000
M;245963;26;33518;1;1800000
F;301388;29;1065148;1;800000
M;125342;46;281872;1;1600000
F;128175;36;121594;0;1600000
F;80171;30;435441;1;3100000
M;102035;52;353961;1;5700000
M;201223;55;770022;2;1300000
M;42761;43;137563;1;1500000
F;22381;58;562285;1;3700000
M;663405;49;122744;1;3100000
M;41250;45;74536;3;1200000
M;323191;53;2414941;3;3700000
M;843643;53;490194;3;1000000
M;521837;27;136227;1;2000000
M;967467;55;183490;2;6600000
M;382227;54;239032;1;1400000
F;166830;61;305684;3;550000
M;1200518;42;2238;1;3900000
M;1258597;40;264332;2;4800000
F;3668665;40;1050512;1;700000
F;65896;51;1784;0;2000000
F;319188;47;208749;0;6700000
M;340798;49;1021777;1;2600000
F;513148;47;74449;0;6100000
M;305034;45;9735;3;2000000
M;2912031;42;224118;1;2000000
M;546756;35;408720;0;2100000
M;18912;48;819195;2;4600000
F;410571;51;981119;2;500000
M;238824;27;84260;1;1800000
F;3030463;33;1366481;1;2800000
F;8208032;34;36441;1;1600000
F;308118;39;201938;0;2400000
F;723309;36;2419;1;3000000
F;33225;61;0;0;8000000
F;20864;40;30211;1;4100000
M;164964;49;1070861;1;2400000
M;31455;48;50874;1;1300000
F;163836;43;1416468;1;500000
M;1277129;40;2492501;1;8000000
M;831756;49;314141;1;3100000
M;196191;47;592998;1;2400000
M;563974;55;1499367;1;4500000
M;782109;42;168908;2;900000
M;15420;45;765166;1;2300000
F;97271;46;612733;0;8000000
M;36377;42;944653;2;3100000
M;14409;49;451779;2;6200000
M;294974;50;645983;1;4500000
M;765143;46;2094710;1;8000000
M;666426;51;487250;2;550000
M;442161;45;1079592;1;2600000
M;469944;47;90067;1;1800000
F;1665678;41;317259;0;4200000
M;197826;37;457147;1;1600000
M;542509;46;1435431;2;4600000
M;1218063;54;689011;0;8000000
F;22301;50;1344036;0;4800000
F;9287;43;168769;3;800000
M;258961;55;248302;1;1600000
M;130582;130;2192623;2;1100000
M;40861;55;16428;1;5800000
M;2780184;43;209493;2;3100000
F;439941;53;239757;2;1800000
F;168047;52;65703;1;8000000
M;324230;37;464148;3;2300000
M;29089;40;178628;3;1900000
F;324232;55;22730;0;1800000
F;137447;39;14587;1;3500000
M;2907116;40;235262;1;1700000
M;483847;26;1421011;1;1200000
F;31045;51;73041;1;1700000
M;963054;54;292914;1;8000000
M;420687;47;317909;1;1700000
M;712652;38;700078;2;8000000
M;448665;38;1846307;2;1300000
M;929945;52;1898880;1;8000000
M;143729;50;118916;1;1400000
F;458230;49;1;1;2400000
F;511399;39;122519;1;1900000
F;31409;41;1422758;0;6000000
M;360686;41;964840;1;3700000
M;601407;49;604803;1;3600000
F;42941;39;97300;1;3700000
F;6503;45;487826;1;3500000
M;344005;53;736739;1;650000
F;525047;42;42907;2;1000000
F;20064;54;490259;1;4700000
F;38885;40;702906;0;2000000
F;1090077;31;623473;1;1400000
F;389590;28;71019;1;1700000
M;2490818;44;56222;2;900000
M;576335;40;343867;1;6300000
M;299914;47;667039;1;5700000
F;442858;39;123227;1;1000000
M;181690;45;2920815;1;4600000
F;31029;34;319935;1;3200000
F;16732;54;9098585;0;2100000
M;285545;35;780114;1;2800000
M;4899115;44;34043;1;2400000
M;3623265;43;311806;1;2200000
F;3961107;32;128690;3;2800000
F;48088;36;501227;0;8000000
F;231133;59;213261;1;1500000
M;39608;29;1123734;0;1600000
M;56726;52;732681;1;3500000
M;816299;50;2615625;2;3000000
M;3880268;41;11227;1;3000000
M;78184;40;164380;1;2000000
M;16415;45;46620;3;1300000
F;296530;47;442123;2;1600000
M;513041;58;77644;1;1900000
M;414862;25;167868;0;2000000
F;2274646;44;236584;1;1600000
F;195306;45;387291;1;1400000
F;6347636;34;33379;3;1000000
M;194216;41;1159;1;2600000
M;661501;47;3361600;2;2900000
M;189798;52;582616;1;1600000
M;48239;37;141949;1;900000
M;1505846;37;1938201;1;8000000
F;719261;60;277747;0;3700000
F;224947;49;82600;1;1800000
M;611842;33;15223;3;3200000
M;1744563;41;278079;1;8000000
F;451223;41;567874;1;1600000
F;29114;33;315986;0;4500000
M;796427;47;280508;2;8000000
M;11231;40;754277;1;2800000
M;1498532;59;234817;1;8000000
M;25511;45;2887078;1;2500000
M;361015;47;204460;1;1900000
M;501142;52;314999;1;2800000
F;4072523;32;638005;1;6700000
F;44572;44;759062;1;1100000
M;466932;55;27;1;2600000
F;3501797;35;122688;1;1800000
F;282062;49;272458;1;2200000
F;2661121;32;991062;1;2800000
M;59720;40;1286073;2;4000000
F;1046753;57;58;1;8000000
F;850966;41;0;0;5300000
M;78672;40;773555;1;4600000
M;9809;40;3166402;2;1800000
F;377557;48;293610;0;2500000
M;34875;49;740242;2;1400000
M;661305;51;244530;1;2600000
F;1630187;28;683523;1;1400000
F;1504908;34;440616;1;1800000
M;52468;49;1343296;2;1500000
M;413285;50;243988;2;1500000
F;488130;46;296197;1;4000000
M;144171;30;95377;1;1500000
M;20423;50;393409;2;4200000
M;298103;35;210280;1;2000000
M;16574;43;103;1;1900000
M;449545;44;962917;1;1100000
M;520679;45;395924;1;1600000
M;4741958;44;122799;1;2700000
M;220519;42;1978054;2;2200000
F;343587;56;304;1;8000000
F;682321;34;73921;0;4200000
M;65701;50;32809;1;1700000
M;237960;52;1286909;3;8000000
M;16438;41;850;1;2600000
F;237976;30;437418;0;1900000
F;5253634;37;84245;0;5000000
M;56557;55;256707;1;1700000
M;282653;54;211631;1;2600000
M;5738271;40;282046;2;500000
F;180812;49;448684;1;2000000
M;854321;47;27651;2;3600000
F;55664;39;6;1;2400000
M;709551;48;438560;1;4200000
F;230161;44;0;1;7000000
F;25177;44;1340946;1;1600000
F;578726;30;722778;1;1700000
M;6161208;44;714977;1;700000
M;200930;55;1503967;1;2700000
F;5319740;33;612888;0;5200000
F;172623;39;369917;2;1200000
F;27004;47;323287;1;2000000
M;26723;40;148474;2;4300000
F;3779631;41;1447196;1;3400000
F;298622;27;194240;1;2000000
M;701459;30;226296;3;3900000
M;2732542;43;1943955;1;6600000
M;425984;46;288785;0;8000000
M;715751;55;601148;2;1100000
F;48700;46;235170;1;800000
M;10877;40;99387;2;1900000
M;4100910;41;1122414;1;6200000
F;2491871;47;283;0;8000000
M;4820592;44;165798;2;2900000
M;632030;48;510492;1;3200000
M;355053;39;103427;1;4100000
M;326493;45;126020;1;1600000
M;1272165;50;3640651;2;5200000
M;3114083;40;3859893;3;4700000
F;56056;43;4728435;1;7100000
F;6587;48;27600;3;600000
F;5983555;40;2111226;0;8000000
M;461251;47;140259;1;3800000
F;12220;37;50403;0;1700000
M;1261973;41;1447410;2;7500000
M;47431;55;492907;1;3700000
M;2008876;52;891743;2;8000000
F;447207;32;15117;1;1800000
M;78092;45;42339;2;1600000
M;640755;32;148299;1;3600000
F;457985;55;142491;3;4200000
M;619054;47;1670746;2;2800000
F;630735;27;33617;0;4000000
F;840250;41;2141562;3;2600000
M;278437;28;113173;0;1600000
F;260072;40;126260;0;2800000
F;17244;53;631485;0;6300000
M;4288751;43;407135;1;2300000
F;399019;41;7857;0;1800000
F;293684;52;535038;1;7500000
M;213842;47;427718;1;4400000
M;208620;52;472022;1;2400000
M;359260;54;4018;3;1300000
F;4083;43;488267;1;1600000
M;17540;40;455871;1;2000000
M;683512;39;769998;1;8000000
M;708850;43;117747;1;4400000
M;2076320;52;1164585;3;8000000
F;617661;39;89398;0;2400000
F;1228538;49;1010754;2;8000000
F;21883;41;830439;2;3100000
F;2654047;56;2209598;1;8000000
M;374962;44;203402;2;1100000
M;557080;48;589474;1;4200000
F;422659;44;371043;2;3600000
F;945133;41;262964;2;4600000
F;1929489;40;807545;1;7900000
M;284389;55;71;1;2600000
F;793670;44;580536;1;8000000
M;497812;53;283696;1;1700000
F;300745;52;672595;2;1900000
F;520352;58;544857;1;4600000
F;159870;44;2518881;1;3400000
M;1149233;36;1079735;0;6400000
M;851450;36;407033;1;1300000
F;5328938;35;330792;1;650000
M;45857;50;465921;1;1100000
F;50867;43;101322;0;2400000
M;1647102;53;1168018;2;8000000
F;261387;41;206893;1;4500000
M;13447;44;974661;1;700000
F;52616;55;350954;0;8000000
F;4075851;38;121367;1;1600000
M;6713653;40;196998;1;500000
F;54478;57;509402;1;1500000
M;209985;46;289990;2;1100000
F;5342;29;701285;1;1900000
F;1418213;36;971554;1;5500000
M;335235;54;1443321;2;1200000
M;32936;43;206790;3;8000000
M;337018;49;226045;2;700000
M;504060;49;1020115;1;500000
M;1299061;55;283950;1;8000000
F;953375;52;702799;1;3900000
M;230837;53;4617567;2;2900000
M;343534;46;496434;2;1100000
F;220303;54;469632;1;2400000
F;251063;25;192266;2;1400000
F;30137;42;0;0;2000000
M;375377;50;195701;1;2300000
F;3610453;32;323759;1;1600000
M;656967;48;294475;1;3500000
M;40016;35;204304;1;3300000
M;746772;48;1253972;1;5000000
F;250533;25;221;1;1800000
M;334363;55;249430;1;1200000
M;55821;48;0;0;6000000
M;415258;51;284042;1;1700000
F;16237;55;453600;3;7200000
M;68591;39;394286;1;2300000
F;470892;34;137641;2;2400000
M;325550;37;391002;1;2300000
F;3372484;33;351468;0;1600000
F;51021;43;180814;1;1700000
M;649038;45;3573544;1;550000
F;365235;49;1389750;1;3000000
F;30780;47;936128;0;8000000
F;987034;42;1197634;2;1000000
F;7672750;35;16236;3;1100000
M;293054;39;1069166;2;5000000
M;633982;50;219877;1;1900000
F;1082913;50;24502;3;6100000
F;678596;43;1626203;0;1100000
F;288001;47;263794;1;1500000
M;136798;32;342420;1;1800000
M;50683;39;80;1;2000000
F;11285;50;6412;1;2800000
F;8233967;38;389725;1;4800000
M;322295;47;510237;1;2600000
M;340100;43;1812554;3;5900000
M;417701;40;819614;1;8000000
M;33539;43;419525;1;3900000
M;446693;40;514764;0;1400000
M;1519909;47;500;0;8000000
M;248328;27;1608057;1;2700000
M;788;40;764130;2;3000000
M;730062;48;494997;1;3100000
M;259145;52;1157825;1;4200000
M;16540;42;770050;1;1300000
F;1847122;28;613117;3;1100000
F;788197;33;964459;0;3300000
M;229867;53;1999;3;1600000
